Year,FullBirthGrowth,RevImmigration,LumpEleUnity,LumpWageGrowth
1790,0.2228976697,97.82260923,200,-3.611738149
1791,-0.005569778737,97.86615704,300,-6.249100786
1792,-0.2345603962,97.90970486,400,-8.082973494
1793,-0.4640765842,97.95325268,478.3358208,36.91181274
1794,-0.6941207608,97.99680049,535.0074623,27.04339169
1795,-0.9246953609,98.04034831,570.0149247,14.47149358
1796,-1.155802836,98.08389612,583.3582078,41.14336451
1797,-1.387445655,98.12744394,597.0665673,19.06307254
1798,-1.619626304,98.17099175,611.1400033,56.98253563
1799,-1.852347286,98.21453957,625.5785158,56.98253563
1800,-2.085611122,98.25808738,640.3821047,54.92830391
1801,-2.31942035,98.29292564,670.9519963,53.6306559
1802,-2.553777527,98.32776389,717.2881908,72.30245571
1803,-2.788685227,98.36260214,779.390688,67.10172578
1804,-3.024146043,98.39744039,857.259488,86.85697053
1805,-3.260162585,98.43227864,924.1263098,87.56119589
1806,-3.496737483,98.4671169,979.9911535,83.50714183
1807,-3.733873384,98.50195515,1024.854019,89.22142755
1808,-3.971572957,98.5367934,1058.714906,81.25100848
1809,-4.209838888,98.57163165,1089.167122,83.34832392
1810,-4.44867388,98.60646991,1116.210666,83.34832392
1811,-3.750151392,98.63434051,1139.845538,76.98540169
1812,-3.056474394,98.66221111,1160.071738,75.74412939
1813,-2.367576125,98.69008171,1190.006131,59.06668918
1814,-1.683391193,98.71795231,1229.648717,50.06668918
1815,-1.003855543,98.74582292,1278.999496,64.08412714
1816,-0.3289064119,98.77369352,1338.058468,73.55549278
1817,0.3415176971,98.80156412,1401.82342,79.21879767
1818,1.007477054,98.82943472,1470.294353,83.76056571
1819,1.669030732,98.85730532,1543.471266,83.76056571
1820,2.326236641,98.88517593,1621.35416,70.59155163
1821,1.628275157,98.72018196,1680.567288,100.1535954
1822,0.9254079301,98.555188,1721.110653,96.63246866
1823,0.2175655112,98.39019404,1742.984253,108.5536509
