Year,FullBirthGrowth,RevImmigration,LumpEleUnity
1821,-0.697961484,99.09246607,59.21312895
1822,-1.400828711,98.74234417,99.75649345
1823,-2.10867113,98.39222228,121.6300935
1824,-2.821559676,98.04210038,124.8339291
1825,-3.539566813,97.69197849,133.7709703
1826,-4.262766576,97.34185659,148.441217
1827,-4.991234618,96.99173469,168.8446693
1828,-5.725048258,96.6416128,194.9813272
1829,-6.46428653,96.2914909,222.4103007
1830,-7.209030232,95.94136901,251.1315896
1831,-8.856871872,95.59124711,281.1451941
1832,-10.53232228,95.24112522,312.4511141
1833,-12.23632237,94.89100332,340.1734209
1834,-13.96986197,94.54088143,364.3121145
1835,-15.73398332,94.19075953,384.8671949
1836,-17.52978478,93.84063764,401.8386621
1837,-19.35842499,93.49051574,422.9468341
1838,-21.22112732,93.14039384,448.1917109
1839,-23.11918482,92.79027195,477.5732925
1840,-25.05396556,92.44015005,511.0915789
1841,-27.02691862,92.09002816,540.9852475
1842,-29.03958056,91.73990626,567.2542983
1843,-31.09358261,91.38978437,589.8987313
1844,-33.19065865,91.03966247,608.9185465
1845,-35.33265396,90.68954058,626.9182632
1846,-37.521535,90.33941868,643.8978814
1847,-39.75940025,89.98929679,659.8574011
1848,-42.04849229,89.63917489,674.7968223
1849,-44.39121133,89.28905299,695.350671
1850,-46.7901303,88.9389311,721.5189472
1851,-47.36050183,88.72958655,753.3016509
1852,-47.93414526,88.52024201,790.6987821
1853,-48.51109834,88.31089746,822.6621813
1854,-49.09139949,88.10155292,849.1918485
1855,-49.67508779,87.89220837,870.2877837
1856,-50.26220301,87.68286383,885.9499869
1857,-50.85278563,87.47351928,901.2161784
1858,-51.44687685,87.26417474,916.0863582
1859,-52.04451861,87.05483019,930.5605263
1860,-52.6457536,86.84548565,944.6386827
1861,-53.03475613,86.71709263,966.5043159
1862,-53.4252778,86.58869962,996.1574259
1863,-53.81733052,86.4603066,1033.598013
1864,-54.21092634,86.33191359,1078.826076
1865,-54.60607746,86.20352057,1119.729663
1866,-55.00279622,86.07512755,1156.308773
1867,-55.40109511,85.94673454,1188.563407
1868,-55.80098676,85.81834152,1216.493564
1869,-56.20248396,85.68994851,1246.764759
1870,-56.60559966,85.56155549,1279.376993
1871,-56.4902429,85.6735601,1314.330266
1872,-56.37501905,85.78556472,1351.624578
1873,-56.25992781,85.89756933,1382.607324
1874,-56.14496888,86.00957394,1407.278503
1875,-56.03014196,86.12157855,1425.638117
1876,-55.91544673,86.23358316,1437.686165
1877,-55.80088291,86.34558777,1450.784231
1878,-55.68645018,86.45759239,1464.932315
1879,-55.57214826,86.569597,1480.130417
1880,-55.45797683,86.68160161,1496.378537
1881,-55.32297432,86.66228207,1511.694667
1882,-55.18815381,86.64296253,1526.078808
1883,-55.05351483,86.62364298,1539.530958
1884,-54.91905688,86.60432344,1552.051118
1885,-54.78477948,86.5850039,1565.475093
1886,-54.65068214,86.56568435,1579.802881
1887,-54.51676438,86.54636481,1595.034483
1888,-54.38302572,86.52704527,1611.169898
1889,-54.24946568,86.50772573,1627.749284
1890,-54.11608379,86.48840618,1644.77264
1891,-53.98287957,86.46908664,1662.239966
1892,-53.84985254,86.4497671,1680.151262
1893,-53.71700224,86.43044756,1698.338312
1894,-53.5843282,86.41112801,1716.801115
1895,-53.45182995,86.39180847,1735.539671
1896,-53.31950703,86.37248893,1754.553981
1897,-53.18735896,86.35316939,1774.32605
1898,-53.0553853,86.33384984,1794.855878
1899,-52.92358558,86.3145303,1816.143464
1900,-52.79195934,86.29521076,1838.188809
1901,-52.66050613,86.19612863,1861.750766
1902,-52.52922549,86.0970465,1886.829334
1903,-52.39811698,85.99796437,1913.424513
1904,-52.26718013,85.89888225,1941.536303
1905,-52.1364145,85.79980012,1968.324849
1906,-52.00581964,85.70071799,1993.790149
1907,-51.87539511,85.60163586,2017.932204
1908,-51.74514047,85.50255373,2040.751014
1909,-51.61505527,85.40347161,2064.874574
1910,-48.28172194,85.30438948,2090.302884
1911,-51.83010903,85.47675314,2117.035944
1912,-52.16455719,85.64911681,2145.073753
1913,-53.1712686,85.82148047,2169.453664
1914,-51.8153364,85.99384414,2190.175675
1915,-53.15312904,86.16620781,2207.239787
1916,-54.50906125,86.33857147,2220.646
1917,-56.57091692,86.51093514,2239.430909
1918,-57.62354849,86.6832988,2263.594513
1919,-65.07035701,86.85566247,2293.136814
1920,-58.94008881,87.02802613,2328.05781
1921,-57.49604548,87.16829877,2361.227531
1922,-64.25761132,87.3085714,2392.645976
1923,-65.0209701,87.44884403,2422.313145
1924,-64.63635471,87.58911666,2450.229039
1925,-68.46777234,87.72938929,2481.334897
1926,-72.05342971,87.86966192,2515.630717
1927,-74.94599169,88.00993456,2553.116501
1928,-80.47790659,88.15020719,2593.792248
1929,-84.98241109,88.29047982,2635.640165
1930,-84.51071298,88.43075245,2678.660252
1931,-89.67503223,88.70706964,2722.852507
1932,-93.14037876,88.98338683,2768.216933
1933,-98.7814044,89.25970401,2816.987672
1934,-95.52053484,89.5360212,2869.164725
1935,-97.09948221,89.81233839,2924.748091
1936,-98.70376028,90.08865557,2983.737771
1937,-97.0733255,90.36497276,3037.767447
1938,-94.39952871,90.64128995,3086.83712
1939,-96.48286204,90.91760714,3130.946789
1940,-93.29137268,91.19392432,3170.096454
1941,-88.65219742,91.4008805,3208.304359
1942,-79.29259151,91.60783668,3245.570505
1943,-77.04033926,91.81479286,3281.894891
1944,-83.64826877,92.02174904,3317.277518
1945,-87.42185368,92.22870522,3347.849245
1946,-69.28459878,92.4356614,3373.610073
1947,-58.91115479,92.64261758,3394.560002
1948,-65.30213224,92.84957375,3410.699031
1949,-66.90855794,93.05652993,3432.304078
1950,-68.541211,93.26348611,3459.375141
1951,-65.22170893,93.41885485,3491.912222
1952,-64.41849607,93.57422359,3529.915319
1953,-64.41849607,93.72959232,3569.055599
1954,-63.62168333,93.88496106,3609.33306
1955,-64.80745408,94.0403298,3650.747704
1956,-64.00745408,94.19569853,3693.299529
1957,-63.61062868,94.35106727,3729.165741
1958,-66.77268402,94.50643601,3758.346339
1959,-68.81350034,94.66180474,3780.841324
1960,-70.06350034,94.81717348,3796.650695
1961,-71.75126406,94.86545613,3820.963096
1962,-75.613925,94.91373878,3853.778527
1963,-78.738925,94.96202144,3895.096987
1964,-81.50390196,95.01030409,3944.918477
1965,-89.08684035,95.05858674,3985.675013
1966,-94.72786599,95.10686939,4017.366596
1967,-97.98873555,95.15515204,4039.993225
1968,-99.11233106,95.2034347,4053.5549
1969,-97.4077856,95.25171735,4067.329575
1970,-94.61448951,95.3,4081.317249
1971,-101.1362286,95.15,4095.517923
1972,-110.4385542,95,4109.931596
1973,-115.5667594,94.85,4124.558268
1974,-115.5667594,94.7,4139.397939
1975,-116.9181107,94.55,4154.45061
1976,-116.9181107,94.4,4169.716281
1977,-113.4934532,94.25,4191.638645
1978,-114.1557048,94.1,4220.217704
1979,-110.1557048,93.95,4255.453457
1980,-108.2326279,93.8,4297.345903
1981,-108.8615587,93.63,4342.768105
1982,-108.2286473,93.46,4391.720063
1983,-110.1154398,93.29,4444.201776
1984,-110.1154398,93.12,4500.213245
1985,-108.8333885,92.95,4550.595821
1986,-110.0992113,92.78,4595.349504
1987,-109.4581856,92.61,4634.474295
1988,-107.5473576,92.44,4667.970192
1989,-105.0473576,92.27,4698.180564
1990,-103.2180893,92.1,4725.105408
1991,-106.2121013,91.78,4748.744727
1992,-108.6812371,91.46,4769.098519
1993,-111.2128827,91.14,4790.45994
1994,-113.8102853,90.82,4812.828989
1995,-116.4769519,90.5,4836.205668
1996,-117.846815,90.18,4860.589975
1997,-119.2357038,89.86,4881.920047
1998,-118.5314785,89.54,4900.195884
1999,-119.2307792,89.22,4915.417485
2000,-117.8223285,88.9,4927.584852
2001,-119.9056618,88.72,4940.297706
2002,-121.3241015,88.54,4953.556047
2003,-119.8852526,88.36,4967.359876
2004,-120.5944725,88.18,4981.709193
2005,-120.5944725,88,4998.516025
2006,-118.4516153,87.82,5017.780373
2007,-118.4516153,87.64,5039.502236
2008,-120.5495174,87.46,5063.681614
2009,-124.120946,87.28,5086.67945
2010,-127.8246497,87.1,5108.495743
2011,-130.132342,86.98,5129.130494
2012,-130.9197436,86.86,5148.583702
2013,-132.5070452,86.74,5166.913047
2014,-131.7005936,86.62,5184.11853
2015,-132.5005936,86.5,5200.200151
2016,-134.1134968,86.45,5215.157909
2017,-137.3921853,86.4,5230.526353
2018,-139.0871006,86.35,5246.305483
2019,-140.8112385,86.3,5262.495298
2020,-144.3200104,86.35,5279.095798
2021,-144.3200104,85.875,5295.295798
2022,-144.3200104,85.4,5311.095798
