Year,FullBirthGrowth,RevImmigration,LumpEleUnity,LumpWageGrowth
1780,-0.3944773176,97.18688085,65,-10.91045899
1781,-0.6222000898,97.25045369,135,13.06342161
1782,-0.8504426223,97.31402653,210,4.21988419
1783,-1.079207293,97.37759937,290,18.28389971
1784,-1.308496497,97.4411722,355.7692308,22.32022665
1785,-1.538312644,97.50474504,407.3076923,27.41036451
1786,-1.768658162,97.56831788,444.6153846,30.02189879
1787,-1.999535496,97.63189072,467.6923077,31.90659945
1788,-2.230947107,97.69546355,552.3076923,36.54697068
1789,-2.462895473,97.75903639,652.3076923,37.48373883
1790,-2.69538309,97.82260923,852.3076923,33.87200068
1791,-2.472485421,97.86615704,952.3076923,31.23463804
1792,-2.700952869,97.90970486,1052.307692,29.40076534
1793,-2.929943487,97.95325268,1130.643513,74.39555157
1794,-3.159459675,97.99680049,1187.315155,64.52713052
1795,-3.389503851,98.04034831,1222.322617,51.95523241
1796,-3.620078451,98.08389612,1235.6659,78.62710334
1797,-3.851185927,98.12744394,1249.37426,56.54681137
1798,-4.082828746,98.17099175,1263.447696,94.46627446
1799,-4.315009394,98.21453957,1277.886208,94.46627446
1800,-4.547730376,98.25808738,1292.689797,92.41204274
1801,-4.780994212,98.29292564,1323.259689,91.11439473
1802,-5.01480344,98.32776389,1369.595883,109.7861945
1803,-5.249160617,98.36260214,1431.69838,104.5854646
1804,-5.484068317,98.39744039,1509.56718,124.3407094
1805,-5.719529133,98.43227864,1576.434002,125.0449347
1806,-5.955545675,98.4671169,1632.298846,120.9908807
1807,-6.192120573,98.50195515,1677.161711,126.7051664
1808,-6.429256475,98.5367934,1711.022599,118.7347473
1809,-6.666956048,98.57163165,1741.474814,120.8320628
1810,-6.905221978,98.60646991,1768.518358,120.8320628
1811,-7.14405697,98.63434051,1792.15323,114.4691405
1812,-6.445534482,98.66221111,1812.37943,113.2278682
1813,-5.751857484,98.69008171,1842.313823,96.55042801
1814,-5.062959215,98.71795231,1881.95641,87.55042801
1815,-4.378774284,98.74582292,1931.307189,101.567866
1816,-3.699238633,98.77369352,1990.36616,111.0392316
1817,-3.024289502,98.80156412,2054.131113,116.7025365
1818,-2.353865393,98.82943472,2122.602045,121.2443045
1819,-1.687906036,98.85730532,2195.778958,121.2443045
1820,-1.026352358,98.88517593,2273.661852,108.0752905
1821,-0.3691464497,98.72018196,2332.874981,137.6373343
1822,-1.067107934,98.555188,2373.418345,134.1162075
1823,-1.76997516,98.39019404,2395.291945,146.0373898
1824,-2.477817579,98.22520007,2398.495781,154.5935395
1825,-3.190706126,98.06020611,2407.432822,152.0909326
1826,-3.908713263,97.89521215,2422.103069,152.0909326
1827,-4.631913026,97.73021818,2442.506521,151.2636317
1828,-5.360381068,97.56522422,2468.643179,156.4867002
1829,-6.094194708,97.40023026,2496.072152,178.748341
1830,-6.833432979,97.23523629,2524.793441,179.6431956
1831,-7.578176681,96.82605127,2554.807046,186.3257732
1832,-9.226018322,96.41686624,2586.112966,170.4623194
1833,-10.90146873,96.00768121,2613.835273,192.8210417
1834,-12.60546882,95.59849618,2637.973966,174.5479494
1835,-14.33900842,95.18931115,2658.529047,171.7376449
1836,-16.10312977,94.78012612,2675.500514,166.4161371
1837,-17.89893123,94.3709411,2696.608686,183.1798912
1838,-19.72757144,93.96175607,2721.853563,185.9515098
1839,-21.59027377,93.55257104,2751.235144,185.9515098
1840,-23.48833127,93.14338601,2784.753431,193.5887413
1841,-25.42311201,92.72294052,2814.647099,192.6431148
1842,-27.39606507,92.30249503,2840.91615,199.7317224
1843,-29.40872701,91.88204954,2863.560583,209.9130335
1844,-31.46272906,91.46160405,2882.580398,208.8095852
