Year,FullBirthGrowth,RevImmigration,LumpWageGrowth,Unity,,,,,,,,,
1780,-0.3944773176,97.18688085,-10.91045899,0.2715964193,,,,,,,,,
1781,-0.6222000898,97.25045369,13.06342161,0.2646314283,,,,,,,,,
1782,-0.8504426223,97.31402653,4.21988419,0.2576239958,,,,,,,,,
1783,-1.079207293,97.37759937,18.28389971,0.2505706795,,,,,,,,,
1784,-1.308496497,97.4411722,22.32022665,0.2434707966,,,,,,,,,
1785,-1.538312644,97.50474504,27.41036451,0.2032229479,,,,,,,,,
1786,-1.768658162,97.56831788,30.02189879,0.1194614703,,,,,,,,,
1787,-1.999535496,97.63189072,31.90659945,0.02520476674,,,,,,,,,
1788,-2.230947107,97.69546355,36.54697068,-0.180485859,,,,,,,,,
1789,-2.462895473,97.75903639,37.48373883,-0.3418275182,,,,,,,,,
1790,-2.69538309,97.82260923,33.87200068,-0.4358980759,,,,,,,,,
1791,-2.472485421,97.86615704,31.23463804,-0.5120849822,,,,,,,,,
1792,-2.700952869,97.90970486,29.40076534,-0.5142028702,,,,,,,,,
1793,-2.929943487,97.95325268,74.39555157,-0.4109073913,,,,,,,,,
1794,-3.159459675,97.99680049,64.52713052,-0.4590118299,,,,,,,,,
1795,-3.389503851,98.04034831,51.95523241,-0.5169539458,,,,,,,,,
1796,-3.620078451,98.08389612,78.62710334,-0.5385738378,,,,,,,,,
1797,-3.851185927,98.12744394,56.54681137,-0.5389924421,,,,,,,,,
1798,-4.082828746,98.17099175,94.46627446,-0.3757579584,,,,,,,,,
1799,-4.315009394,98.21453957,94.46627446,-0.06246117745,,,,,,,,,
1800,-4.547730376,98.25808738,92.41204274,0.2615382949,,,,,,,,,
1801,-4.780994212,98.29292564,91.11439473,0.5681717828,,,,,,,,,
1802,-5.01480344,98.32776389,109.7861945,0.7787982017,,,,,,,,,
1803,-5.249160617,98.36260214,104.5854646,0.8747592707,,,,,,,,,
1804,-5.484068317,98.39744039,124.3407094,0.9324645764,,,,,,,,,
1805,-5.719529133,98.43227864,125.0449347,1.026697419,,,,,,,,,
1806,-5.955545675,98.4671169,120.9908807,1.185386759,,,,,,,,,
1807,-6.192120573,98.50195515,126.7051664,1.336251816,,,,,,,,,
1808,-6.429256475,98.5367934,118.7347473,1.414178554,,,,,,,,,
1809,-6.666956048,98.57163165,120.8320628,1.431386884,,,,,,,,,
1810,-6.905221978,98.60646991,120.8320628,1.305616491,,,,,,,,,
1811,-7.14405697,98.63434051,114.4691405,1.202352268,,,,,,,,,
1812,-6.445534482,98.66221111,113.2278682,1.181053199,,,,,,,,,
1813,-5.751857484,98.69008171,96.55042801,1.207353335,,,,,,,,,
1814,-5.062959215,98.71795231,87.55042801,1.284726982,,,,,,,,,
1815,-4.378774284,98.74582292,101.567866,1.452655369,,,,,,,,,
1816,-3.699238633,98.77369352,111.0392316,1.546653883,,,,,,,,,
1817,-3.024289502,98.80156412,116.7025365,1.538874005,,,,,,,,,
1818,-2.353865393,98.82943472,121.2443045,1.29839586,,,,,,,,,
1819,-1.687906036,98.85730532,121.2443045,1.103915595,,,,,,,,,
1820,-1.026352358,98.88517593,108.0752905,0.8181118254,,,,,,,,,
1821,-0.3691464497,98.72018196,137.6373343,0.5761228649,,,,,,,,,
1822,-1.067107934,98.555188,134.1162075,0.5139068905,,,,,,,,,
1823,-1.76997516,98.39019404,146.0373898,0.6003159237,,,,,,,,,
1824,-2.477817579,98.22520007,154.5935395,0.412170797,,,,,,,,,
1825,-3.190706126,98.06020611,152.0909326,0.2729210862,,,,,,,,,
1826,-3.908713263,97.89521215,152.0909326,-0.04221600195,,,,,,,,,
1827,-4.631913026,97.73021818,151.2636317,-0.4797924939,,,,,,,,,
1828,-5.360381068,97.56522422,156.4867002,-0.7334050696,,,,,,,,,
1829,-6.094194708,97.40023026,178.748341,-0.7412652319,,,,,,,,,
1830,-6.833432979,97.23523629,179.6431956,-0.7162002127,,,,,,,,,
1831,-7.578176681,96.82605127,186.3257732,-0.5490644464,,,,,,,,,
1832,-9.226018322,96.41686624,170.4623194,-0.391044346,,,,,,,,,
1833,-10.90146873,96.00768121,192.8210417,-0.3662522617,,,,,,,,,
1834,-12.60546882,95.59849618,174.5479494,-0.3754149721,,,,,,,,,
1835,-14.33900842,95.18931115,171.7376449,-0.3905557931,,,,,,,,,
1836,-16.10312977,94.78012612,166.4161371,-0.4195249484,,,,,,,,,
1837,-17.89893123,94.3709411,183.1798912,-0.4131349098,,,,,,,,,
1838,-19.72757144,93.96175607,185.9515098,-0.452623525,,,,,,,,,
1839,-21.59027377,93.55257104,185.9515098,-0.4930273768,,,,,,,,,
1840,-23.48833127,93.14338601,193.5887413,-0.4651486776,,,,,,,,,
1841,-25.42311201,92.72294052,192.6431148,-0.4385952919,,,,,,,,,
1842,-27.39606507,92.30249503,199.7317224,-0.5571166903,,,,,,,,,
1843,-29.40872701,91.88204954,209.9130335,-0.6194847206,,,,,,,,,
1844,-31.46272906,91.46160405,208.8095852,-0.6691098667,,,,,,,,,
1845,-33.5598051,91.04115856,207.71818,-0.7850290951,,,,,,,,,
1846,-35.70180041,90.62071306,206.6385579,-0.7965383907,,,,,,,,,
1847,-37.89068145,90.20026757,199.4957007,-0.6634360653,,,,,,,,,
1848,-40.1285467,89.77982208,221.1950471,-0.5959843543,,,,,,,,,
1849,-42.41763874,89.35937659,209.685504,-0.5702916753,,,,,,,,,
1850,-44.76035778,88.9389311,207.5718977,-0.6148600021,,,,,,,,,
1851,-47.15927675,88.72958655,209.731142,-0.7444668089,,,,,,,,,
1852,-47.72964828,88.52024201,225.1517027,-0.7995209217,,,,,,,,,
1853,-48.30329171,88.31089746,225.1517027,-0.7501025545,,,,,,,,,
1854,-48.88024479,88.10155292,217.1664447,-0.7339555541,,,,,,,,,
1855,-49.46054594,87.89220837,214.3024829,-0.6527094188,,,,,,,,,
1856,-50.04423424,87.68286383,216.2489549,-0.6070907656,,,,,,,,,
1857,-50.63134946,87.47351928,213.4120755,-0.6772493793,,,,,,,,,
1858,-51.22193208,87.26417474,234.5721185,-0.6811317029,,,,,,,,,
1859,-51.8160233,87.05483019,233.5795626,-0.5446809381,,,,,,,,,
1860,-52.41366506,86.84548565,233.5795626,-0.4831390879,,,,,,,,,
1861,-53.01490005,86.71709263,227.9589537,-0.3184379082,,,,,,,,,
1862,-53.40390258,86.58869962,226.4974153,0.01035491372,,,,,,,,,
1863,-53.79442425,86.4603066,215.514123,0.2169561446,,,,,,,,,
1864,-54.18647697,86.33191359,203.4130068,0.3432429492,,,,,,,,,
1865,-54.58007279,86.20352057,199.8664584,0.5803988622,,,,,,,,,
1866,-54.97522391,86.07512755,202.4655487,0.7237856787,,,,,,,,,
1867,-55.37194267,85.94673454,209.7877244,0.7438713684,,,,,,,,,
1868,-55.77024156,85.81834152,213.8515851,0.814009728,,,,,,,,,
1869,-56.17013321,85.68994851,218.166498,0.8827348641,,,,,,,,,
1870,-56.57163041,85.56155549,222.5933755,0.785427136,,,,,,,,,
1871,-56.97474611,85.6735601,239.1474295,0.6231082971,,,,,,,,,
1872,-56.85938935,85.78556472,239.1474295,0.3213109384,,,,,,,,,
1873,-56.7441655,85.89756933,241.2163951,-0.02199928663,,,,,,,,,
1874,-56.62907426,86.00957394,246.2888588,-0.3542638714,,,,,,,,,
1875,-56.51411533,86.12157855,250.0482573,-0.5822424116,,,,,,,,,
1876,-56.39928841,86.23358316,243.9205704,-0.7680428234,,,,,,,,,
1877,-56.28459318,86.34558777,246.2851025,-0.8635507448,,,,,,,,,
1878,-56.17002936,86.45759239,251.248908,-1.063084261,,,,,,,,,
1879,-56.05559663,86.569597,251.248908,-1.248386813,,,,,,,,,
1880,-55.94129471,86.68160161,248.8271119,-1.409419696,,,,,,,,,
1881,-55.82712328,86.66228207,248.8271119,-1.56578783,,,,,,,,,
1882,-55.69212077,86.64296253,248.8271119,-1.643455692,,,,,,,,,
1883,-55.55730026,86.62364298,250.8868441,-1.555457578,,,,,,,,,
1884,-55.42266128,86.60432344,262.2719889,-1.425255529,,,,,,,,,
1885,-55.28820333,86.5850039,264.3106155,-1.248714067,,,,,,,,,
1886,-55.15392593,86.56568435,266.503598,-1.112997353,,,,,,,,,
1887,-55.01982859,86.54636481,273.6619494,-1.09804837,,,,,,,,,
1888,-54.88591083,86.52704527,273.6619494,-1.089523407,,,,,,,,,
1889,-54.75217217,86.50772573,277.0251781,-1.066448826,,,,,,,,,
1890,-54.61861213,86.48840618,278.158965,-0.9418109934,,,,,,,,,
1891,-54.48523024,86.46908664,278.158965,-0.7432837852,,,,,,,,,
1892,-54.35202602,86.4497671,278.158965,-0.6097467953,,,,,,,,,
1893,-54.21899899,86.43044756,287.0862762,-0.5386259809,,,,,,,,,
1894,-54.08614869,86.41112801,284.17432,-0.4540626248,,,,,,,,,
1895,-53.95347465,86.39180847,286.6313225,-0.4665666946,,,,,,,,,
1896,-53.8209764,86.37248893,286.6313225,-0.4461149487,,,,,,,,,
1897,-53.68865348,86.35316939,287.8751036,-0.3482478187,,,,,,,,,
1898,-53.55650541,86.33384984,287.8751036,-0.2758330089,,,,,,,,,
1899,-53.42453175,86.3145303,287.8751036,-0.2365348467,,,,,,,,,
1900,-53.29273203,86.29521076,294.24441,-0.2153101615,,,,,,,,,
1901,-53.16110579,86.19612863,293.0308177,-0.2293622912,,,,,,,,,
1902,-53.02965258,86.0970465,298.8889883,-0.2037440825,,,,,,,,,
1903,-52.89837194,85.99796437,296.6615557,-0.1355531638,,,,,,,,,
1904,-52.76726342,85.89888225,295.5028072,-0.1076837111,,,,,,,,,
1905,-52.63632658,85.79980012,303.4199623,-0.1035794541,,,,,,,,,
1906,-52.50556095,85.70071799,301.2410632,-0.2051090558,,,,,,,,,
1907,-52.37496609,85.60163586,302.9424902,-0.2971678858,,,,,,,,,
1908,-52.24454156,85.50255373,299.0648854,-0.2748277014,,,,,,,,,
1909,-52.11428692,85.40347161,306.5195339,-0.2729501408,,,,,,,,,
1910,-51.98420172,85.30438948,307.9182693,-0.3076701959,,,,,,,,,
